uri,code,name
https://edmo.seadatanet.org/report/108,108,"CNR, Istituto di Scienze Marine (Sezione di Venezia)"
https://edmo.seadatanet.org/report/1081,1081,"Universite de Bretagne-Sud, Geosciences, LAUBS"
https://edmo.seadatanet.org/report/1082,1082,"Universite de Corse, CEVAREN"
https://edmo.seadatanet.org/report/1083,1083,"University of Grenoble 1, Laboratory of Geophysical and Industrial Flows"
https://edmo.seadatanet.org/report/1085,1085,"Universite de la Mediterrannee (U2), Equipe Intec, COM"
https://edmo.seadatanet.org/report/1086,1086,"Universite de la Mediterrannee (U2), Laboratoire d'Hydrobiologie Marine"
https://edmo.seadatanet.org/report/1087,1087,"Universite de Montpellier II, Laboratoire de Geophysique et Tectonique"
https://edmo.seadatanet.org/report/1088,1088,Geosciences Montpellier
https://edmo.seadatanet.org/report/1089,1089,"Universite de Nantes, Laboratoire de Geologie Marine et Appliquee"
https://edmo.seadatanet.org/report/1090,1090,"Universite de Nantes, Laboratoire de Petrologie Structurale"
https://edmo.seadatanet.org/report/1092,1092,"Universite de Paris VI, Laboratoire de Geologie Dynamique Paris"
https://edmo.seadatanet.org/report/1094,1094,"Universite de Pau, Lab. Chimie Bio Inorganique et Environnement"
https://edmo.seadatanet.org/report/1095,1095,"University Rennes I, Rennes GEOSCIENCES"
https://edmo.seadatanet.org/report/1096,1096,"University of Rouen Normandy, M2C - Continental and Coastal Morphodynamics - UMR 6143"
https://edmo.seadatanet.org/report/1097,1097,"University of Strasbourg I (Louis Pasteur), Earth Sciences School and Observatory"
https://edmo.seadatanet.org/report/1098,1098,"Department of Biological and Environmental Sciences, Aquatic Sciences, University of Helsinki"
https://edmo.seadatanet.org/report/1099,1099,"Technical University of Denmark, DTU Environment, Department of Environmental Engineering."
https://edmo.seadatanet.org/report/11,11,University Marine Biological Station (Millport)
https://edmo.seadatanet.org/report/110,110,"ENEA Centro Ricerche, Frascati"
https://edmo.seadatanet.org/report/1102,1102,"Danish Institute for Fisheries Research, Dept. of Marine Fisheries"
https://edmo.seadatanet.org/report/1103,1103,"Aarhus University, Department of Bioscience,Wildlife Ecology and Biodiversity"
https://edmo.seadatanet.org/report/1104,1104,Finnish Environment Institute
https://edmo.seadatanet.org/report/1107,1107,Countryside Council for Wales
https://edmo.seadatanet.org/report/1108,1108,Northern Ireland Environment Agency
https://edmo.seadatanet.org/report/1109,1109,"Queens University Belfast, Department of Agriculture and Environmental Science"
https://edmo.seadatanet.org/report/111,111,"Federal Maritime and Hydrographic Agency, Dept. Ocean Currents"
https://edmo.seadatanet.org/report/1110,1110,Channel Coastal Observatory
https://edmo.seadatanet.org/report/1111,1111,Icelandic Maritime Administration
https://edmo.seadatanet.org/report/1112,1112,Icelandic Coast Guard Hydrographic Department
https://edmo.seadatanet.org/report/1114,1114,Municipality of Landskrona
https://edmo.seadatanet.org/report/1115,1115,Institute of Ecology of Nature Research Centre
https://edmo.seadatanet.org/report/1116,1116,"Lithuanian State Pisciculture and Fisheries Research Center, Fishery Research Laboratory"
https://edmo.seadatanet.org/report/1117,1117,Coastal Research and Planning Institute
https://edmo.seadatanet.org/report/1118,1118,Central Laboratory of Geodesy
https://edmo.seadatanet.org/report/1119,1119,"Hydrographic service, Naval forces, Hydrographic Department"
https://edmo.seadatanet.org/report/112,112,"Federal Maritime and Hydrographic Agency, Dept. Operational Modelling"
https://edmo.seadatanet.org/report/1120,1120,"Regional Inspection of Environment and Waters, Varna"
https://edmo.seadatanet.org/report/1121,1121,"Regional Inspection of Environment and Waters, Burgas"
https://edmo.seadatanet.org/report/1122,1122,"Geological Institute, Department of Marine Geology"
https://edmo.seadatanet.org/report/1123,1123,State Hydrographical Service of Georgia
https://edmo.seadatanet.org/report/1125,1125,Poti  Sea Port Ltd.
https://edmo.seadatanet.org/report/1126,1126,Marine Institute (Newport Facility)
https://edmo.seadatanet.org/report/1128,1128,"National Agricultural Research Foundation, Fisheries Research Institute"
https://edmo.seadatanet.org/report/1129,1129,National Center for Meteorology and Aeronautical Climatology
https://edmo.seadatanet.org/report/113,113,"Federal Maritime and Hydrographic Agency, Dept. Tides"
https://edmo.seadatanet.org/report/1130,1130,"ARPA Emilia-Romagna, Struttura Oceanografica Daphne"
https://edmo.seadatanet.org/report/1132,1132,"ARPA Veneto, Centro Meteorologico di Teolo"
https://edmo.seadatanet.org/report/1133,1133,General Office for Air Force Meteorology
https://edmo.seadatanet.org/report/1134,1134,Provincia di Sassari
https://edmo.seadatanet.org/report/1135,1135,Royal Danish Navy
https://edmo.seadatanet.org/report/1138,1138,Experimental Branch of Marine Hydrophysical Institute
https://edmo.seadatanet.org/report/1139,1139,Municipal Water and Sewerage Enterprise of Volos Greater Area 
https://edmo.seadatanet.org/report/114,114,"Federal Maritime and Hydrographic Agency, Dept. Waves"
https://edmo.seadatanet.org/report/1140,1140,"Tsivos Laboratories, Examination center of quality for water and foods"
https://edmo.seadatanet.org/report/1144,1144,"IRD, Centre of Madagascar"
https://edmo.seadatanet.org/report/1145,1145,"IRD, Centre of Abidjan"
https://edmo.seadatanet.org/report/1146,1146,"IRD, Centre of Pointe Noire"
https://edmo.seadatanet.org/report/1147,1147,"IRD, Centre of Hann"
https://edmo.seadatanet.org/report/1148,1148,"IRD, Centre of Jakarta"
https://edmo.seadatanet.org/report/1149,1149,"UNESCO, Intergovernmental Oceanographic Commission Project Office for IODE"
https://edmo.seadatanet.org/report/1150,1150,National office for environment and nature Stralsund
https://edmo.seadatanet.org/report/1151,1151,Max-Planck Institute for Marine Microbiology
https://edmo.seadatanet.org/report/1152,1152,Helmholtz Centre for Environmental Research GmbH - UFZ
https://edmo.seadatanet.org/report/1154,1154,"Westfaelische Wilhelms, University of Muenster"
https://edmo.seadatanet.org/report/1155,1155,Johannes Gutenberg University Mainz
https://edmo.seadatanet.org/report/1156,1156,"University of Hamburg, Institute of Oceanography"
https://edmo.seadatanet.org/report/1157,1157,University of Bremen
https://edmo.seadatanet.org/report/1158,1158,Technical University of Berlin
https://edmo.seadatanet.org/report/1159,1159,"Institute and Museum for Geology and Paleontology, University of Tuebingen"
https://edmo.seadatanet.org/report/116,116,"Baltic Sea Research Institute Warnemuende, Marine Geology Department"
https://edmo.seadatanet.org/report/1161,1161,Research Centre Juelich GmbH
https://edmo.seadatanet.org/report/1162,1162,"Technical University of Munich, Lehrstuhl fuer Bioklimatologie und Immissionsforschung"
https://edmo.seadatanet.org/report/1163,1163,SIMORC service
https://edmo.seadatanet.org/report/1164,1164,Technical University Varna
https://edmo.seadatanet.org/report/1165,1165,Black Sea NGO Network
https://edmo.seadatanet.org/report/1167,1167,Ukrainian scientific center of Ecology of Sea 
https://edmo.seadatanet.org/report/1168,1168,Scientific Research Institute of Ecological Problems 
https://edmo.seadatanet.org/report/1169,1169,Odessa National I.I.Mechnikov University
https://edmo.seadatanet.org/report/117,117,"Federal Maritime and Hydrographic Agency, Dept. Oceanography"
https://edmo.seadatanet.org/report/1171,1171,Bulgarian Cartographic Service
https://edmo.seadatanet.org/report/1173,1173,Hapag-Lloyd AG
https://edmo.seadatanet.org/report/1174,1174,Hamburg Sued
https://edmo.seadatanet.org/report/1175,1175,"Federal Ministry of Food, Agriculture and Consumer Protection "
https://edmo.seadatanet.org/report/1176,1176,Bundesamt fur Landwirtschaft und Ernahrung 
https://edmo.seadatanet.org/report/1177,1177,Water- and Shipping Directorate North 
https://edmo.seadatanet.org/report/1178,1178,Waterways and Shipping Office Cuxhaven
https://edmo.seadatanet.org/report/1179,1179,Waterways and Shipping Office Bremerhaven 
https://edmo.seadatanet.org/report/1180,1180,Water and Shipping Directorate Northwest
https://edmo.seadatanet.org/report/1182,1182,Waterways and Shipping Office Toenning 
https://edmo.seadatanet.org/report/1183,1183,"Federal Environment Agency, Environmental Specimen Bank "
https://edmo.seadatanet.org/report/1185,1185,Kaabeltau OÜ
https://edmo.seadatanet.org/report/1187,1187,The Finnish Game and Fisheries Research Institute 
https://edmo.seadatanet.org/report/1188,1188,Finnlines Plc
https://edmo.seadatanet.org/report/1189,1189,Centre National d'Etudes Spatiales 
https://edmo.seadatanet.org/report/119,119,"University of Trieste, Department of Geological, Environmental and Marine Sciences"
https://edmo.seadatanet.org/report/1190,1190,"Meteo France, Centre de Météorologie Marine"
https://edmo.seadatanet.org/report/1192,1192,"Service Maritime et de Navigation du Languedoc, Roussillon "
https://edmo.seadatanet.org/report/1198,1198,IGN France International
https://edmo.seadatanet.org/report/12,12,"University of Newcastle upon Tyne, Department of Physics"
https://edmo.seadatanet.org/report/120,120,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography"
https://edmo.seadatanet.org/report/1201,1201,Muir Matheson
https://edmo.seadatanet.org/report/1202,1202,"National Observatory of Athens, Institute for Space Applications & Remote Sensing "
